Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2023,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,RS,HU,,,1,live,,Z,W
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CH,AT,KZ,,1,bodies,,P,C
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CN,NL,US,,1,bodies,,T,C
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,FI,,,1,bodies,Number of specimens,E,W
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,IE,,,1,feathers,Number of specimens,S,W
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IE,NO,,30,,live,Number of specimens,N,W
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,XV,FR,DE,,1,live,Number of specimens,Q,C
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,XV,FR,KZ,,1,live,Number of specimens,Q,C
2023,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,DE,US,,1,,live,Number of specimens,B,F
2023,I,Acipenser brevirostrum,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,IT,CA,,127.5,,derivatives,kg,T,D
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,GB,DE,,,1,live,Number of specimens,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,GB,PL,CZ,,1,live,Number of specimens,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,GB,SE,,,1,live,,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,GB,SK,CZ,,1,live,,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,TR,FR,HU,1,,live,Number of specimens,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,TR,HU,,,1,live,,Z,C
2023,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,TR,CH,US,1,,leather products (small),Number of specimens,T,W
2023,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,AE,DK,,,10,live,Number of specimens,T,C
2023,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,AE,DK,,,3,live,Number of specimens,T,C
2023,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,SG,FR,NL,,1,live,Number of specimens,Z,C
2023,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,SG,FR,,,2,live,Number of specimens,Z,C
2023,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,CD,FR,BE,,2,live,Number of specimens,T,C
2023,I,Abronia campbelli,Reptilia,Sauria,Anguidae,Abronia,CH,BE,,,1,live,Number of specimens,T,C
2023,I,Pachypodium baronii,,Gentianales,Apocynaceae,Pachypodium,CH,DE,,,1,live,Number of specimens,T,A
2023,I,Pachypodium baronii,,Gentianales,Apocynaceae,Pachypodium,CH,DE,,,1,live,Number of specimens,T,D
2023,I,Pachypodium decaryi,,Gentianales,Apocynaceae,Pachypodium,CH,DE,,,500,seeds,Number of specimens,T,D
2023,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,BG,CL,,50,,logs,kg,P,W
2023,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,NL,CL,,41,live,,T,D
2023,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,DE,GB,,40,,seeds,kg,T,A
2023,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,GB,IT,,,4,live,Number of specimens,T,D
2023,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,NL,CL,,34000,,live,,T,D
2023,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,NL,GB,,165,,seeds,kg,T,D
2023,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,TR,IT,,,8,live,Number of specimens,T,D
2023,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,DE,GT,,81,,specimens,Number of specimens,S,W
2023,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,DE,GT,,51,,specimens,Number of specimens,S,W
2023,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,,7,baleen,kg,P,W
2023,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,,baleen,Number of specimens,P,W
2023,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,2000,,meat,g,P,W
2023,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,,1,meat,kg,S,W
2023,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,DE,AR,,25,,specimens,Number of specimens,S,W
2023,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,IS,,62,,baleen,Number of specimens,S,W
2023,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,140,,skin pieces,g,S,X
2023,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,300,,skin pieces,g,S,X
2023,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,IS,,2,,baleen,Number of specimens,S,W
2023,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,80,,skin pieces,g,S,X
2023,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,MU,SE,NO,,1,skeletons,,E,O
2023,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,HS,,20,,specimens,Number of specimens,S,X
2023,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,IS,,550,,meat,Number of specimens,S,W
2023,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,IS,,204,,specimens,Number of specimens,S,W
2023,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,205,,skin pieces,g,S,X
2023,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DE,AR,,4,,specimens,Number of specimens,S,W
2023,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DE,ZA,,2,,bones,Number of specimens,P,W
2023,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,,250,skins,g,S,W
2023,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,ES,IS,,2,,baleen,Number of specimens,S,W
2023,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,JP,HS,,80,,skin pieces,g,S,X
2023,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,AE,CZ,AT,,4,live,,T,C
2023,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,CH,DE,,,4,live,Number of specimens,T,C
2023,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,DE,CH,,2,,live,Number of specimens,P,C
2023,I,Chilabothrus subflavus,Reptilia,Serpentes,Boidae,Chilabothrus,IL,CZ,,,5,live,,Z,C
2023,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,DE,CH,,2,,live,Number of specimens,P,C
2023,I,Bubalus depressicornis,Mammalia,Artiodactyla,Bovidae,Bubalus,DE,GB,DE,1,,live,Number of specimens,B,C
2023,I,Bubalus depressicornis,Mammalia,Artiodactyla,Bovidae,Bubalus,DE,GB,NL,1,,live,Number of specimens,B,C
2023,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,BE,PK,,1,,trophies,Number of specimens,H,W
2023,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CN,IT,,,3,bodies,Number of specimens,T,C
2023,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,TJ,,1,,trophies,Number of specimens,H,W
2023,I,Capra falconeri heptneri,Mammalia,Artiodactyla,Bovidae,Capra,DK,TJ,,1,,trophies,Number of specimens,H,W
2023,I,Capra falconeri heptneri,Mammalia,Artiodactyla,Bovidae,Capra,IT,TJ,,1,,trophies,Number of specimens,H,W
2023,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,ES,ZA,,3,trophies,Number of specimens,H,F
2023,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BE,ZA,,1,,skulls,Number of specimens,H,F
2023,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BG,ZA,,5,,trophies,Number of specimens,H,F
2023,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BY,PL,,2,,live,Number of specimens,Z,C
2023,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,ZA,,5,,trophies,,H,F
2023,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DE,ZA,,1,,trophies,Number of specimens,H,F
2023,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,10,,trophies,Number of specimens,H,F
2023,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,14,,trophies,Number of specimens,H,F
2023,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FI,ZA,,4,,trophies,Number of specimens,H,F
2023,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,1,,trophies,Number of specimens,P,F
2023,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,DK,,,1,live,Number of specimens,Z,C
2023,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HU,ZA,,11,,trophies,,H,F
2023,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PL,ZA,,3,,trophies,Number of specimens,H,F
2023,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,1,,trophies,,H,F
2023,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,CH,DE,,,1,live,Number of specimens,Z,C
2023,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,CH,ES,ES,,1,live,Number of specimens,B,C
2023,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,DE,AE,,1,,trophies,Number of specimens,H,C
2023,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,ES,AE,,1,,trophies,Number of specimens,H,F
2023,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,1,,trophies,Number of specimens,H,F
2023,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,IQ,AE,,4,,live,,B,C
2023,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,PL,AE,,1,,trophies,Number of specimens,H,C
2023,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,PL,ZA,,1,,trophies,Number of specimens,H,F
2023,I,Ovis gmelini,Mammalia,Artiodactyla,Bovidae,Ovis,AT,TJ,,1,,trophies,,H,W
2023,I,Atelopus zeteki,Amphibia,Anura,Bufonidae,Atelopus,US,PA,,,10,bodies,,S,W
2023,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,DE,CH,US,1,,live,Number of specimens,P,F
2023,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,DE,US,,1,,live,Number of specimens,P,F
