Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,AT,ZA,,,1,skins,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,AT,ZA,,,1,skulls,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,AT,ZA,,,4,trophies,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BE,DD,,,4,live,,,C
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BE,DE,,,2,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BR,ZA,,,1,skulls,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BR,ZA,,,1,trophies,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,KE,,1,,garments,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,KE,,1,,skins,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,US,CA,1,,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,US,,1,1,live,,Z,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,US,,22,,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,XX,,3,,leather products (small),,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,XX,,2,,shoes,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,XX,,2,,skins,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,KE,,2,skins,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,2,,skins,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CH,BE,CH,1,,skins,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CH,DE,,1,,live,,Q,C
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CH,DE,,,1,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CH,IR,,1,,skins,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CH,MZ,,1,,skins,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CH,SV,,1,,plates,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CL,CA,,,1,garments,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,BW,,1,,trophies,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,CH,AT,,2,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,CH,,,8,live,,,C
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,CH,,1,,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,DD,,,2,live,,,C
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,DK,,,2,live,,Z,C
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,FR,CN,,6,skins,,T,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,GH,,1,,trophies,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,NA,,4,,trophies,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,NL,,1,,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,TR,,1,,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,TZ,,3,,trophies,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,ZA,,,1,skins,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,ZA,,,1,skulls,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,ZA,,2,,trophies,,S,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,ZA,,,1,trophies,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,ZM,,7,,trophies,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DK,CH,,1,,live,,Z,C
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DK,CH,,,1,live,,,C
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DK,DE,DD,,1,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DK,ZM,,1,,skins,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,ES,BW,,,1,skins,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,ES,BW,,,1,skulls,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,ES,DE,,,3,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,ES,US,DE,,1,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,ES,ZA,,,2,skins,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,ES,ZA,,,1,trophies,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,FI,DD,,1,,live,,Z,C
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,FI,DD,,,1,live,,,C
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,FR,DE,,,1,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,GB,CA,,1,,skins,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,GB,DE,,1,,live,,B,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,GB,DE,,,1,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,GB,ES,XX,1,,garments,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,GB,KE,,3,,skins,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,GB,OM,,1,,skins,,S,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,GB,ZW,IN,1,,skins,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,GR,DE,,,1,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,GR,ZA,,,1,trophies,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,IT,CH,,,2,live,,,C
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,IT,DE,,,1,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,MA,DE,,,1,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,MC,CH,,,8,live,,,C
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,MX,US,,,2,live,,Z,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,MX,ZA,,,1,skins,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,MX,ZA,,,2,skulls,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,NL,DE,,,4,live,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,NL,ZA,,,3,skins,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,NO,SE,XX,1,,skins,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,PK,CH,,1,,live,,P,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,PT,ZA,,,1,skulls,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,PT,ZA,,,1,trophies,,,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,SU,DE,,1,,live,,Z,
1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,US,BW,,,1,skins,,,
