Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1979,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,CA,,,1,skins,,,
1979,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,DK,CA,,1,skins,,,
1979,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DK,CA,,,1,trophies,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AE,GB,,,3,live,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,CH,,,1,live,,,C
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,ZA,,,1,skins,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,ZA,,,1,skulls,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,ZA,,,1,trophies,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AU,ZA,,1,,skins,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BE,ZA,,,1,skins,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BE,ZA,,,1,skulls,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BE,ZA,,,1,trophies,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BR,ZA,,,1,trophies,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BW,ZA,,,18,skins,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,BW,,1,,skins,,H,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,KE,,15,,claws,,P,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,US,CA,9,,live,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,US,,67,,live,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,XX,,1,,live,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,BW,,1,skins,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,BW,,1,,skins,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,BW,,1,,trophies,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,CF,,1,,trophies,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,FR,,1,,trophies,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,TZ,,1,,trophies,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,ZA,,,3,skins,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,ZA,,5,,trophies,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,ZM,,1,,trophies,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,ZW,,1,,trophies,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DD,DE,,1,,live,,Z,C
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DD,PL,,2,,live,,Z,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,BW,,1,,skins,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,CA,,1,,skins,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,CH,,,17,live,,,C
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,DD,,,9,live,,,C
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,DK,,,1,bodies,,T,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,DK,,,4,live,,Z,C
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,NL,,1,,skins,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,TZ,,2,,skins,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,UG,,1,,skins,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,UG,,1,,skulls,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,UG,,1,,trophies,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,ZA,,3,2,skins,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,ZA,,,3,skulls,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DE,ZA,,,1,trophies,,,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DK,BW,,2,,skins,,P,
1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,DK,BW,,1,,trophies,,P,
