Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2000,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,ES,PL,,1,1,live,,Z,C
2000,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,FR,PL,,1,1,live,,Z,C
2000,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,IL,PL,,,1,live,,Z,C
2000,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,MY,CN,BE,4,,live,,Q,C
2000,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,US,GB,XX,1,,plates,,P,O
2000,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,US,GB,XX,,1,skins,,P,O
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AE,BJ,,,2,live,,T,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AE,FR,TZ,,1,skulls,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AE,FR,TZ,,8,trophies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AE,KW,,4,,live,,,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AE,MA,,,3,live,,Z,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AE,TZ,,,1,trophies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AE,ZA,,,1,trophies,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AM,RU,,,1,live,,Z,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AO,NA,,,1,trophies,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AR,BW,,,1,trophies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AR,ZW,,,17,claws,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AR,ZW,,,2,skins,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AR,ZW,,,2,skulls,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,NA,,2,,trophies,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,RU,,1,1,live,,Z,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,TZ,,2,11,trophies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,TZ,,4,,trophies,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,ZA,ZW,,1,skulls,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,ZA,ZW,1,1,trophies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,ZA,,,2,skins,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,ZA,,,3,skulls,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,ZA,,2,,trophies,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,ZW,,,1,bodies,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,ZW,,,1,skins,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,ZW,,2,,skulls,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,ZW,,,2,skulls,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,ZW,,1,,trophies,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AT,ZW,,1,,trophies,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AU,BE,,,1,skeletons,,E,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AU,US,,2,2,live,,Q,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AU,XX,,1,,skeletons,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AU,ZA,KE,,6,claws,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AU,ZA,KE,,1,leather products (small),,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AU,ZA,KE,,1,skins,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AU,ZA,,6,,carvings,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AU,ZA,,2,,leather products (small),,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AU,ZA,,1,1,skins,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,AU,ZA,,,1,skulls,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BE,CD,,,1,trophies,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BE,TZ,,2,3,trophies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BE,ZA,TZ,,1,skulls,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BE,ZA,TZ,,1,trophies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BE,ZA,,,1,skins,,H,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BE,ZA,,,1,skins,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BE,ZA,,,1,skulls,,H,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BE,ZA,,,2,skulls,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BE,ZA,,,1,trophies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BO,PE,XX,,5,live,,Q,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BR,CM,,,1,trophies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BR,US,,,2,live,,T,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BR,US,,2,,live,,Z,F
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BW,ZA,BW,,1,trophies,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,FR,CF,,1,skulls,,T,O
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,FR,XX,1,,skulls,,T,O
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,TZ,,3,,skins,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,TZ,,3,,skulls,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,TZ,,,3,trophies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,US,CA,5,,live,,Q,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,US,ZA,1,,skins,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,US,,,1,hair,kg,,I
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,US,,9,4,live,,Q,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,US,,,7,live,,T,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,MZ,1,1,skins,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,MZ,1,1,skulls,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,3,,bodies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,1,,bodies,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,1,,skins,,H,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,2,,skins,,H,F
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,,4,skins,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,1,,skulls,,H,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,1,,skulls,,H,F
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,3,6,skulls,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,1,,skulls,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,,1,trophies,,H,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,,1,trophies,,H,F
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,,2,trophies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZW,,1,,bodies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZW,,1,1,bodies,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZW,,18,,claws,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZW,,,1,skins,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZW,,1,,skulls,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZW,,,1,skulls,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,CF,,,1,trophies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,CF,,2,,trophies,,P,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,FR,TZ,1,1,skins,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,FR,TZ,,2,trophies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,FR,TZ,2,,trophies,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,FR,XX,1,,skins,,P,O
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,NL,GB,,5,live,,Q,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,ZA,,,1,skins,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,ZA,,,1,skulls,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,ZA,,1,,trophies,,H,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,ZW,,,1,skins,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CH,ZW,,,1,skulls,,T,W
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CI,NE,,,2,live,,E,C
2000,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CL,AT,TZ,,1,trophies,,H,W
